price_value,shipping_value,total_value,sold_date_value,listing_type,is_best_offer,card_number_guess,grader_norm,grade_value,title_short,valuation_range,valuation_note,valuation_lane
17.0,7.07,24.07,2026-03-18,bin,False,,,,1991 Upper Deck - Short Print #SP1 Michael Jordan,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
19.99,0.0,19.99,2026-03-18,bin,True,,,,1991 Upper Deck - Short Print Michael Jordan #SP1 No Holo...,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
189.0,0.0,189.0,2026-03-17,bin,False,,,,1991 Upper Deck - Short Print Michael Jordan #SP1,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
32.85,5.0,37.85,2026-03-17,bin,True,,,,🔥Upper Deck Michael Jordan #SP1 Rookie SP AIR JORDAN GOLD...,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
20.0,5.52,25.52,2026-03-17,bin,True,,,,1991 Upper Deck - Short Print Michael Jordan #SP1,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
20.0,1.99,21.99,2026-03-17,bin,False,,,,1991 Upper Deck - Short Print Michael Jordan #SP1,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
30.0,5.49,35.49,2026-03-17,auction,False,,,,1991 Upper Deck MICHAEL JORDAN #SP1 RC Prospect White Sox...,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
22.95,5.5,28.45,2026-03-17,bin,False,,,,1991 Upper Deck - Short Print Michael Jordan #SP1 - NM *T...,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
25.0,5.52,30.52,2026-03-17,bin,False,,,,1991 Upper Deck - Short Print Michael Jordan #SP1,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
23.0,5.52,28.52,2026-03-17,bin,False,,,,1991 Upper Deck Michael Jordan Baseball #SP1 Chicago Whit...,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
15.5,3.5,19.0,2026-03-17,auction,False,,,,Upper Deck 1991 Michael Jordan Insert SP1 Short Print Chi...,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
15.5,8.75,24.25,2026-03-17,auction,False,,,,1991 Upper Deck Michael Jordan #SP1 Short Print Baseball,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
27.0,5.2,32.2,2026-03-17,auction,False,,,,1991 Upper Deck - Short Print Michael Jordan #SP1,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
20.0,1.32,21.32,2026-03-17,bin,False,,,,Upper Deck 1991 Short Print Michael Jordan #SP1 Chicago W...,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
18.0,5.2,23.2,2026-03-17,bin,True,,,,1991 Upper Deck - Short Print Michael Jordan #SP1,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
16.5,5.52,22.02,2026-03-16,auction,False,,,,Upper Deck 1991 Michael Jordan SP1 Short Print Insert Chi...,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
19.99,0.0,19.99,2026-03-16,bin,False,,,,1991 Upper Deck #SP1 Michael Jordan Chicago White Sox,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
16.5,4.99,21.49,2026-03-16,auction,False,,,,1991 Upper Deck Short Print Michael Jordan #SP1 HOF,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
19.99,5.07,25.06,2026-03-16,bin,False,,,,1991 Upper Deck Michael Jordan Baseball #SP1 Chicago Whit...,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
15.51,4.99,20.5,2026-03-16,auction,False,,,,1991 Upper Deck Short Print Michael Jordan #SP1 HOF,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
13.5,4.99,18.49,2026-03-16,auction,False,,,,1991 Upper Deck Short Print Michael Jordan #SP1 HOF,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
